pnr,order_id,ticket_number,member_id,passenger,flight_number,origin,destination,departure_utc,arrival_utc,cabin,fare_class,pnr_status,ancillaries,channel,pss_source
RT4EUR,ORD-TXWFJKQ0,795-3980491761,VA7003699,Liam Walsh,VA507,DOH,AKL,2026-07-06T02:30:00Z,2026-07-06T10:56:38Z,Economy,Y,HK,Seat selection,virginaustralia.com,SabreSonic
6AYV02,ORD-Q7QT37B0,795-1116402431,VA7003562,Liam Haddad,VA1577,TSV,LAX,2026-06-13T17:30:00Z,2026-06-14T02:55:15Z,Economy,Y,HK,Extra legroom; Carbon offset,virginaustralia.com,SabreSonic
2SF6BD,ORD-YQECBRNB,795-3668616333,VA7003973,Jack Lim,VA1559,OOL,MEL,2026-06-22T17:30:00Z,2026-06-22T19:54:12Z,Economy,Y,HK,Carbon offset; Seat selection,App,SabreSonic
VGBV01,ORD-NERGVHCY,795-7583090712,VA7000959,William Nguyen,VA1974,LAX,CNS,2026-06-20T22:05:00Z,2026-06-21T09:07:39Z,Economy,Y,HK,Checked bag 23kg; Lounge pass,virginaustralia.com,SabreSonic
3M9T65,ORD-3TWRFT4R,795-8518238399,VA7005617,Grace Sinclair,VA1302,TSV,SYD,2026-06-27T14:30:00Z,2026-06-27T19:49:10Z,Economy,Y,HK,Lounge pass,Amadeus GDS,SabreSonic
TA9NFR,ORD-27R674BF,795-2263732197,VA7002877,Sophie Okafor,VA530,SYD,HKG,2026-06-18T02:05:00Z,2026-06-18T11:14:40Z,Economy,Y,HK,Wifi pass; Seat selection,virginaustralia.com,SabreSonic
5TVSQH,ORD-NWHMNP6T,795-6128695961,VA7005754,Audrey Patel,VA1128,LAX,MCY,2026-06-28T22:30:00Z,2026-06-29T12:28:29Z,Economy,Y,HK,Wifi pass,virginaustralia.com,SabreSonic
AU664X,ORD-MDS6HE17,795-9908115095,VA7000000,George Rossi,VA1542,DOH,ADL,2026-06-13T20:05:00Z,2026-06-14T07:22:02Z,Economy,Y,HK,Checked bag 23kg,virginaustralia.com,SabreSonic
44V3VD,ORD-GPPSFLRM,795-3370788647,VA7001233,Thomas Chen,VA1242,LAX,DRW,2026-06-19T14:45:00Z,2026-06-20T02:58:59Z,Economy,Y,HK,Priority boarding; Carbon offset,App,SabreSonic
SN3HQK,ORD-TKEDLVU4,795-5829062179,VA7006028,Jack Walsh,VA930,APW,SIN,2026-06-19T20:10:00Z,2026-06-20T07:56:20Z,Economy,Y,HK,Checked bag 23kg; Priority boarding,Amadeus GDS,SabreSonic
